Name,ICAO,IATA,CallSign,Country,Founded,Destinations,Fleet Size
Twin Cities Air Service,TCY,,TWIN CITY,,1992,2,5
Air France,AFR,AF,AIRFRANS,France,1933,204,235
FLN Frisia Luftverkehr,,,,,1969,,3
Pineapple Air,PNP,,PINEAPPLE AIR,,1999,8,5
SaxonAir,SXN,,SAXONAIR,,2007,,8
Sud Airlines,SDU,,SUD LINES,,,,1
Twin Jet,TJT,T7,TWINJET,France,2001,13,10
Aero Contractors (Nigeria),NIG,AJ,AEROLINE,Nigeria,1959,13,16
Air Freight NZ,AFN,OG,AIR FREIGHT,,1989,3,5
AirSprint,ASP,,AIRSPRINT,,2000,,13
Aviajet,,,,,1983,,
Canaryfly,CNF,PM,CANARY,,2010,9,4
Deccan Charters,DKN,DN,DECCAN,,1997,,11
Hesnes Air,HSG,,SKY DOLPHIN,,1992,,3
Pinnacle Airlines,FLG,9E,FLAGSHIP,United States,,,199
Sudan Airways,SUD,SD,SUDANAIR,Sudan,,24,5
two Fokker F27 Friendships,,,,,,,
AirStar Executive Airways,,,,,2004,,7
CanJet,CJA,C6,CANJET,Canada,2002,37,6
Deccan Lanka,DLK,,DEKKANLANKA,,,13,2
Hevilift,,IU,,,1994,,
Mack Air,,,,,,,
Piquiatuba Transportes Aéreos,,,PIQUIATUBA,,2005,8,4
Avialeasing,TWN,V2,TWINARROW,Uzbekistan,1992,4,2
Cape Air,KAP,9K,CAIR,United States,,36,89
Florida Coastal Airlines,FCL,PA,FLORIDA COASTAL,,1995,8,5
PlaneSense,CNS,,CHRONOS,,1995,,30
Summit Air,,,SUMMIT,,1987,,19
Tyrolean Jet Services,TJS,,TYROLJET,,1978,,10
Aero Ejecutivos,VEJ,,VENEJECUTIV,,2005,3,4
Air Gemini,GLL,,TWINS,,1999,,6
AirTanker Services,TOW,,TOWLINE,,2007,,12
Avianca,AVA,AV,AVIANCA,Colombia,1919,122,163
Delta Air Lines,DAL,DL,DELTA,United States,1924,334,722
Hex'Air,HER,UD,HEX AIRLINE,France,1991,5,3
MacRobertson Miller Airlines,,MV,MILLER,,1927,,
Newmans Air,NZA,ZQ,ANZA,,,,4
Planet Airways,PLZ,,PLANET,,1995,,
Scandinavian AirAmbulance,DFL,,MEDIFLIGHT,,,,19
Sun Air (Sudan),SNR,,SUN GROUP,,2008,,3
U Airlines,ULG,YL,UNICORN,,2012,,
Aero Express Del Ecuador,RTM,,AERO TRANSAM,,,,1
Air Georgian,GGN,ZX,GEORGIAN,Canada,1994,,20
Air-taxi europe,TWG,TZ,TWINGOOSE,,,,4
Avianca Brazil,ONE,O6,OCEAN AIR,Brazil,1998,24,51
Hi Fly (airline),HFY,5K,SKY FLYER,Portugal,2006,,12
Nex Aviation,,,,,2007,,2
Platinum Air Linhas Aéreas,PLJ,P2,PLATINUMJET,,2007,,1
Scandinavian Airlines,SAS,SK,SCANDINAVIAN,Sweden,1946,104,139
Sun Air Express,FDY,,FRIENDLY,,,8,12
Uair,,UE,,,,,
Air Glaciers,AGV,7T,AIR GLACIERS,Switzerland,1965,,29
Florida West International Airways,FWL,RF,FLO WEST,United States,1981,2,1
Hi Fly Malta,HFM,5M,MOONRAKER,,2013,,
Madina Air,MDH,,MADINA,,2009,,2
Nextjet,NTJ,2N,NEXTJET,Sweden,2002,19,17
Platinum Airlines,,,,,,,2
Scandjet,,,,,2002,,
Sun Air of Scandinavia,SUS,EZ,SUNSCAN,Denmark,,9,11
Avianca Costa Rica,LRC,LR,LACSA,,1945,35,44
Delta Connection,,,,,,,452
Flugdienst Fehlhaber,FFG,,WITCHCRAFT,,,,3
NHT Linhas Aéreas,NHG,N7,HELGA,,,15,6
Scat Aircompany,VSV,DV,VLASTA,Kazakhstan,,19,5
Sun Country Airlines,SCX,SY,SUN COUNTRY,United States,1982,34,20
Uganda Airlines,UGA,QU,UGANDA,Uganda,,8,
Air Grand Canyon,,,,,1979,1,12
Avianca Ecuador,GLG,,AEROGAL,,1985,10,9
Capitol Air,,CL,,,,,
Delta Connection (Kenya),DCP,Z9,NILECAT,,2004,,1
Flugfélag Vestmannaeyja,FVM,,ELEGANT,,1983,2,4
SCAT Airlines,VSV,DV,VLASTA,,1997,33,32
Sun d'Or International Airlines,ERO,7L,ECHO ROMEO,Israel,,27,3
Aero Lanka,RLN,QL,AERO LANKA,Sri Lanka,,6,2
Avianca El Salvador,TAI,TA,TACA,,1931,50,44
Cardig Air,CAD,,CARDIG AIR,,2004,,3
Fly 6ix,,,FLYSIX,,2010,4,1
Himalaya Airlines,HIM,H9,HIMALAYA,,2014,,2
PLUS Expressways,,,PLUS,,2010,,8
Scenic Airlines,SCE,YR,SCENIC,,1967,,16
Sunair,SAV,,SUNAIR,,1991,10,15
Ukraine Air Alliance,UKL,,UKRAINE ALLIANCE,,1992,,6
Air Greenland,GRL,GL,GREENLAND,Denmark,1960,67,32
Airtransse,TSQ,,AIRTRA,,1997,,
Avianca Honduras,ISV,WC,ISLENA,,1981,4,4
CareFlight,CFH,,CAREFIGHT,,1986,,7
Delta Private Jets,DPJ,,JET CARD,,1984,,68
Fly Advanced,VNX,,VANCE,,2009,,12
Nigeria Airways,NGA,WT,NIGERIA,,1958,9,
Sun-Air of Scandinavia,SUS,EZ,SUNSCAN,,1978,14,14
Ukraine Air Enterprise,UKN,,ENTERPRISE UKRAINE,,1996,,2
Aero Majestic Airways,AMA,,,,2010,,4
Avianca Nicaragua,NIS,W8,LACOSTENA,,,10,13
Denim Air,DNM,J7,DENIM,Netherlands,1996,,42
Hinterland Aviation,HND,OI,HINTERLAND,,1984,5,11
Nightexpress,EXT,,EXECUTIVE,,1984,,3
Pobeda (airline),PBD,DP,POBEDA,,2014,12,12
Sundance Air Venezuela,SUV,,DANCEAIR,,2000,2,3
Ukraine International Airlines,AUI,PS,UKRAINE INTERNATIONAL,Ukraine,1992,80,32
Aero Mongolia,MNG,M0,AERO MONGOLIA,Mongolia,2002,14,4
Airumbria,UMB,,,,1992,,
Deraya Air Taxi,DRY,,DERAYA,,1967,,10
Niki (airline),NLY,HG,NIKI,Austria,2003,50,22
Scoot,SCO,TZ,SCOOTER,,2011,15,9
Sunday Airlines,VSV,DV,VLASTA,,2013,,5
Airwaves Airlink,WLA,,AIRLIMITED,,,1,1
Fly Europa,FEE,,FLY EURO,,,,
Magic Blue Airlines,MJB,,MAGIC BLUE,,2004,,
Nikolaevsk-Na-Amure Air Enterprise,,,,,,,
Sundsvallsflyg,GAO,DC,GOLDEN,,,3,1
Aero Services Executive,BES,W4,BIRD EXPRESS,France,,,12
Air Guyane Express,GUY,GG,GREEN BIRD,French Guiana,2002,3,9
HK Express,HKE,UO,HONGKONG SHUTTLE,,2004,23,12
Magnicharters,GMT,UJ,GRUPOMONTERREY,Mexico,1994,7,10
Nile Air,NIA,NP,NILEBIRD,,2008,13,4
Sundt Air,MDT,,MIDNIGHT,,1997,,6
Aero Slovakia,ASO,,AERO NITRA,,1992,,34
Fly Guam,,,,,2008,5,1
Hokkaido Air System,NTH,,NORTH AIR;AIR SYSTEM,,1997,6,3
Polar Airlines,RKA,PI,AIR SAKHA,,1997,20,56
SunExpress,SXS,XQ,SUNEXPRESS,Turkey,1989,107,71
Air Hamburg,AHO,HH,AIR HAMBURG,,1997,4,12
Airwing,NWG,,NORWING,,2004,3,5
Hokkaido International Airlines,ADO,HD,AIR DO,Japan,1998,11,10
Mahan Air,IRM,W5,MAHAN AIR,Iran; Islamic Republic of,1991,61,57
Seaborne Airlines,SBS,BB,SEABORNE,Virgin Islands; U.S.,,15,10
SunExpress Deutschland,SXD,XG,SUNRISE,,2010,20,17
Ultimate Air Shuttle,UJC,UE,ULTIMATE,,,7,9
Air Harrods,WDK,,WOODSTOCK,,,,
Airwork,AWK,,AIRWORK,,1936,,20
Aviastar (Indonesia),VIT,MV,AVIASTAR,,2003,30,4
Fly Jamaica Airways,FJM,OJ,GREENHEART,,2011,4,2
Mahfooz Aviation,MZS,M2,MAHFOOZ,,,,1
Porter Airlines,POE,PD,PORTER,Canada,2006,21,26
Sunrise Airways,KSZ,S6,,,2010,14,3
UM Airlines,UKM,UF,UKRAINE MEDITERRANEE,Ukraine,1998,6,5
Aviastar-TU,TUP,4B,TUPOLEVAIR,Russian Federation,2004,,5
Dexter Air Taxi,DXT,,DEXTER,,2006,,58
Mainland Air,MLD,MD,MAINLAND,,1991,2,19
Nobil Air,NBL,,NOBIL AIR,,2003,,
Portugália,PGA,NI,PORTUGALIA,Portugal,1988,23,14
Sunshine Express Airlines,EXL,CQ,SEA,Australia,1998,,3
Uni Air,UIA,B7,GLORY,Taiwan; Republic of China,1998,27,16
Aero VIP (Portugal),RVP,WV,AEROVIP,,,2,17
Aviateca,GUG,GU,AVIATECA,,1929,3,3
DHL Aero Expreso,DAE,D5,YELLOW,Panama,1996,,6
HolidayJet,GSW,GM,EIGER,,2015,,
Seair Pacific,,,,,1985,7,8
Sunstate Airlines,QLK,QF,Q LINK,Australia,1981,23,31
AIS Airlines,PNX,IS,SPINNER,,2009,,8
Aviation Beauport Ltd,AVB,,BEAUPAIR,,1969,,4
DHL Air UK,DHK,D0,WORLD EXPRESS,United Kingdom,1982,,26
Fly My Sky,,,,,2007,3,5
Mais Linhas Aéreas,MLI,,DEMAIS,,2010,,2
Nok Air,NOK,DD,NOK AIR,Thailand,2004,25,25
Seair Seaplanes,SS1,,SEAIR,,1980,8,12
United Airlines,UAL,UA,UNITED,United States,1926,375,718
Air Hong Kong,AHK,LD,AIR HONG KONG,China,1986,12,13
Ak Bars Aero,BGM,,BUGAVIA,,1953,10,16
Aviator Airways,AVW,,AVIATOR,,,,3
DHL de Guatemala,JOS,L3,,Guatemala,1991,,1
Makalu Air,,,,,2009,,2
NokScoot,NCT,XW,BIG BIRD,,2015,3,3
SeaPort Airlines,SQH,K5,SASQUATCH,,,22,16
Sunwest Aviation,CNK,,CHINOOK,,,,46
United Airways,UBD,4H,UNITED BANGLADESH,Bangladesh,2005,12,11
Aviatrans Kiev,KCA,KI,TRANS KIEV,,,,3
Caribair,CBC,B9,CARIBAIR,Dominican Republic,1983,26,18
DHL Ecuador,RTM,,AERO TRANSAM,,1991,2,1
Hong Kong Air International Ltd,,HI,COPTAIR,,,,5
Malawian Airlines,MWI,,MALAWIAN,,,6,2
Nolinor Aviation,NRL,,NOLINOR,,1992,,10
Precision Air,PRF,PW,PRECISION AIR,Tanzania; United Republic of,1993,9,10
Section Liaison Air Yaoundé,,,,,,,1
Sunwing Airlines,SWG,WG,SUNWING,Canada,2005,73,38
Aeroasis,,,AEROASIS,,2006,,
Aklak Air,AKK,6L,AKLAK,Canada,1977,,
Aviavilsa,LVR,,AVIAVILSA,,1999,,3
DHL International Aviation ME,DHX,ES,DILMUN,Bahrain,1979,,7
Fly Tiwi,,FT,,,2008,9,30
Hong Kong Airlines,CRK,HX,BAUHINIA,China,2006,32,25
Kalitta Charters,KFS,K9,KALITTA,United States,,,22
Malaysia Airlines,MAS,MH,MALAYSIAN,,,60,93
Premiair,,,,,1989,,
See Aircraft below,,,,,,,
United Express,,,,,1985,,566
AeroBratsk,BRP,,AEROBRA,,1967,5,5
Air Iceland,FXI,NY,FAXI,Iceland,1997,13,8
Al Anwa Aviation,,,,,,,1
Di Air,DIS,,DI AIR,,,,7
Fly Wex,IAD,6P,FLYWEX,Italy,2001,,1
Kalstar Aviation,KLS,KD,KALSTAR,,2000,18,13
Malaysia,MSA,ML,MALAYSIAN,,1966,,13
Noordzee Helikopters Vlaanderen,,,,,1997,,
Premier Executive Transport Services,,,,,,,1
See Fleet information below,,,,,,,
Sunny Airways,SUW,,SUNNY,,2010,2,1
Al Jaber Aviation,LJB,JB,HELIJET,Canada,,,2
Avies,AIA,U3,AVIES,,1991,12,11
Caribbean Airlines,BWA,BW,CARIBBEAN AIRLINES,Trinidad and Tobago,2006,19,21
Diamond Executive Aviation,WKT,,WHITE KNIGHT,,2006,,12
Hong Kong Express Airways,HKE,UO,HONGKONG SHUTTLE,China,2004,13,5
Kaltim Airlines,,,,,2011,4,3
Nor-Alta Aviation,,LT,,,1986,,8
Premium Air Shuttle,EMI,,BLUE SHUTTLE,,,,3
Semeyavia,SMK,E8,,,,2,3
Superior Airways,,,,,2003,,8
Aerocardal,CDA,,AEROCARDAL,,1991,,3
Air Incheon,,KJ,AIR-INCHEON,,2012,4,2
Aviogenex,AGX,JJ,GENEX,Serbia,1968,,1
Caribbean Helicopters,,,,,1995,,
Diexim Expresso,,,,,2003,5,6
Fly540,FFV,5H,SWIFT TANGO,Kenya,2006,16,11
Kam Air,KMF,RQ,KAM AIR,Afghanistan,2003,11,8
Maldivian (airline),DQA,Q2,ISLAND AVIATION,Maldives,2000,22,15
Superior Aviation,HKA,SO,SPEND AIR,United States,1979,,8
United p.s.,UAL,UA,UNITED,,2004,,
Air India,AIC,AI,AIRINDIA,,1930,85,108
Al Rida Airways,LRW,,AL RIDA,,,,
HOP!,HOP,A5,AIR HOP,,2013,50,104
Senegal Airlines,SGG,DN,SENEGAL AIR,,2009,7,5
Surf Air,URF,,SURFAIR,,,12,11
Uni-Top Airlines,UTP,UW,UNITOP,,2009,3,10
Aerochaco,PRV,VM,AEROCHACO,,2008,6,4
Al Sayegh Airlines,,,,,2008,,6
Avion Express,NVD,X9,NORDVIND,,,,11
Caribintair,CRT,,CARIBINTAIR,,1989,5,7
FlyBaghdad,FBA,IF,,,,,
Horizon Air,QXE,QX,HORIZON,United States,1981,45,51
Kan Air,KND,K8,KAN AIR,,2010,14,4
Nordavia,AUL,5N,ARCHANGELSK AIR,Russian Federation,,21,9
Presidential Airways (charter),,,,,,,
Sepahan Airlines,SPN,,SEPAHAN,,2010,,5
Surinam Airways,SLM,PY,SURINAM,Suriname,,9,4
Air India Express,AXB,IX,EXPRESS INDIA,India,2004,26,17
Caricom Airways,CRB,,CARIBBEAN COMMUTER,,2004,67,7
Flybe,BEE,BE,JERSEY,,1979,102,70
Kang Pacific Airlines,KPA,T7,KUN PENG,China,2006,3,1
Servant Air,,,,,2003,7,
Susi Air,SQS,SI,SKYQUEEN,,2004,168,49
Air India Regional,LLR,CD,ALLIED,India,1996,25,12
Avioquintana,AQT,,AVIOQUINTANA,,1997,,2
Hornbill Skyways,,,,,1977,,14
KAPO Avia,KAO,G7,KAZAVIA,,2001,,
Nord-Flyg,NEF,,NORDEX,,1952,,4
Servicio Aéreo Ejecutivo,SEJ,,EJECUTIVO PERU,,,,
Sverigeflyg,GAO,DC,BRAATHENS,,2001,16,
Up (airline),ELY,LY,EL AL,,2013,6,5
Aerocon,AEK,A4,AEROCON,,2005,14,9
Air Indus,MPK,I6,AIR INDUS,,2010,10,6
Alada,RAD,,AIR ALADA,,1995,,9
Avior Airlines,ROI,9V,AVIOR,Venezuela; Bolivarian Republic of,1994,15,15
Carpatair,KRP,V3,CARPATAIR,Romania,1999,2,3
Höga Kusten Flyg,GAO,HK,GOLDEN,,2007,2,1
Mali Air,MAE,,MALI AIREXPRESS,,,,
Servicios Aéreos Profesionales,PSV,5S,PROSERVICIOS,Dominican Republic,1981,31,17
SVG Air,SVG,,GRENADINES,,1990,,
Aviostart,VSR,,AVIOSTART,,1999,,3
Casa Air Service,,,,,1995,,
Flydubai,FDB,FZ,SKY DUBAI,,2008,94,50
Mali Air Express,VXP,,,,2005,,2
SW Business Aviation,ESW,,W-BUSINESS,,2007,,8
UPS Airlines,UPS,5X,UPS,United States,1988,727,237
Air Inuit,AIE,3H,INUIT,Canada,,22,28
Alajnihah Airways,ANH,,ALAJNIHAH,,,,1
Divi Divi Air,DVR,DI,DIVI AIR,,2001,2,4
FlyEasy,,YZ,,,,,1
Hunnu Air,MML,MR,TRANS MONGOLIA,,2011,8,3
Karibu Airways,,,,,,,
Mali Air Transport,,,,,,,1
Prima Charter,FFP,,FLYING FISH,,2003,,
Swanberg Air,,,,,,10,
Aerodavinci,DVI,,AERO DAVINCI,,1997,4,
Air Italy,AEY,I9,AIR ITALY,,2005,,12
Caspian Airlines,CPN,IV,CASPIAN,Iran; Islamic Republic of,1993,20,5
Djibouti Air,,DA,,,2011,2,1
Karinou Airlines,KRN,U5,,,,10,2
Mali Airways,MTZ,Z8,MALI AIRWAYS,Mali,,,
Servivensa,SVV,VC,SERVIVENSA,,1990,,3
Ural Airlines,SVR,U6,SVERDLOVSK AIR,Russian Federation,1943,40,34
Aero-Dienst,ADN,,AERODIENST,,1958,,13
Avolar,VLI,V5,AVOLAR,,2005,17,8
Caspiy,TLG,,,,,,5
IBC Airways,CSQ,II,CHASQUI,United States,1991,13,19
Malift Air,MLC,,MALILA,,1995,,3
SETE Linhas Aéreas,SLX,,SETE,,1999,18,8
Swaziland Airlink,SZL,SA,SWAZILINK,Swaziland,1999,2,1
Urumqi Air,CUH,UQ,LOU LAN,,2014,3,4
Aerofan,CFF,,AEROFAN,,,,
AvWest,,,,,2002,,6
Castle Air,,,CASTLEFILM,,1979,,23
Dniproavia,UDN,Z6,DNIEPRO,Ukraine,1996,16,13
Iberia (airline),IBE,IB,IBERIA,Spain,1927,109,128
Karthago Airlines,KAJ,5R,KARTHAGO,Tunisia,2001,3,1
Nordic Regional Airlines,WBA,N7,FINNCOMM,,2011,35,26
Prime Aviation,PKZ,,PRAVI,,,,
US Airways,AAL,AA,AMERICAN,United States,1937,193,338
Aeroflot,AFL,SU,AEROFLOT,Russian Federation,1923,129,161
Alaska Airlines,ASA,AS,ALASKA,United States,1932,104,145
Awan Inspirasi,,,,,2006,,4
Castle Aviation,CSJ,,CASTLE,,,,12
Iberia Express,IBS,I2,IBEREXPRES,,2011,22,20
Malindo Air,MXD,OD,MALINDO EXPRESS,,2012,31,24
Primera Air,PRI,PF,PRIMERA,,2003,,8
Severstal Air Company,SSF,D2,,,,,13
SwedJet Airways,BBB,VD,BLACKBIRD,,,,
US Airways Express,,,VARIOUS,,1967,140,278
Alaska Central Express,AER,KO,ACE AIR,United States,1996,35,7
Axis Lines International,,O8,,,,,
Ibertrans Aérea,IBT,,IBERTRANS,,1991,,4
KAS Air Company,KSD,KW,AEROKAS,,,,
NordStar,TYA,Y7,TAIMYR,,2009,45,15
Swift Air,SWQ,WQ,SWIFTFLIGHT,United States,1997,,9
US Airways Shuttle,AAL,,AMERICAN,,1961,,
Aeroflot-Plus,PLS,P3,AEROPLUS,,1996,,5
Air Japan,AJX,NQ,AIR JAPAN,Japan,1990,15,30
Alaska Coastal Airlines,,,,,1939,,
Ayit Aviation and Tourism,AYT,0,AYIT,Israel,1985,2,8
Cathay Pacific,CPA,CX,CATHAY,China,1946,177,187
Dobrolet Airlines,DOB,G2,DOBROLET,,,,
Ibex Airlines,IBX,FW,IBEX,Japan,1999,11,10
Malmö Aviation,SCW,TF,SCANWING,Sweden,1981,16,11
Nordwind Airlines,NWS,N4,NORDLAND,,2008,,20
Prince Aviation,PNC,,PRINCE,,1990,,11
SF Airlines,CSS,O3,SHUN FENG,,2009,,19
Dolphin Air,FDN,ZD,FLYING DOLPHIN,United Arab Emirates,1996,,2
Icar Air,RAC,,TUZLA AIR,,2000,,1
Swiftair,SWT,WT,SWIFT,Spain,1986,,41
USA Jet Airlines,JUS,UJ,JET USA,United States,1994,,11
Aerogaviota,GTV,KG,GAVIOTA,Cuba,1994,,22
Air Kasaï,,,,,1983,21,5
Azerbaijan Airlines,AHY,J2,AZAL,Azerbaijan,1992,53,32
Caucasus Airlines,SRJ,NS,CAUCASUS,,,,
Kaya Airlines,KYY,IK,KAMOZ,,1991,11,6
Manang Air,,,,,,,1
Norfolk Island Airlines,,,,,,,
Princely Jets,PJP,,PRINCELY JETS,,,8,6
Shaheen Air,SAI,NL,SHAHEEN AIR,Pakistan,1993,22,21
Aerogem Aviation,GCK,,AEROGEM,,,20,10
Azman Air,,,,,2010,5,2
Shandong Airlines,CDG,SC,SHANDONG,China,1994,60,90
Swiss European Air Lines,SWU,LX,EUROSWISS,Switzerland,,,20
US-Bangla Airlines,UBG,BS,BANGLA STAR,,2013,8,3
Aerogryf,GRF,,AEROGRYF,,,,
Air KBZ,KBZ,K7,JADE AIR,,2010,14,8
AlbaStar,LAV,JQ,ALBASTAR,Venezuela; Bolivarian Republic of,2009,,4
Azmar Airlines,JIB,,AZMAR,,2005,9,3
Cayman Airways,CAY,KX,CAYMAN,Cayman Islands,,12,7
Kaz Air Trans,KUY,,KAIGA,,2012,,1
Manchuria Aviation Company,,RH,,,1932,,
Norlandair,FNA,,NORLAND,,2008,5,5
PrivatAir,PTI,PV,PRIVATAIR,,1977,13,8
Shanghai Airlines,CSH,FM,SHANGHAI AIR,China,1985,140,87
Swiss Global Air Lines,SWU,,EUROSWISS,,2005,36,17
UTair Aviation,UTA,UT,UTAIR,,1967,72,65
Air Kiribati,AKL,4A,KIRIBATI,Kiribati,1995,17,2
Icelandair,ICE,FI,ICEAIR,Iceland,1937,39,26
Swiss International Air Lines,SWR,LX,SWISS,Switzerland,2002,106,83
Aeroland Airways,AEN,,AEROLAND,,2005,,5
Azul Brazilian Airlines,AZU,AD,AZUL,Brazil,2008,99,148
Cebgo,SRQ,DG,BLUEJAY,,1995,14,8
Donavia,DNV,D9,DONAVIA,Russian Federation,2000,20,11
FlyMe (Maldivian airline),VQI,VP,VILLA AIR,,,3,2
Mandarin Airlines,MDA,AE,MANDARIN,Taiwan; Republic of China,1991,34,8
Norrlandsflyg,HMF,,LIFEGUARD SWEDEN,,1961,,12
Private Wings,PWF,8W,PRIVATE WINGS,Germany,1991,,9
Air Koryo,KOR,JS,AIR KORYO,Korea; Democratic People's Republic of,1950,23,19
Azur Air,KTK,ZF,KATEKAVIA,,2015,,26
Cebu Pacific,CEB,5J,CEBU,Philippines,1988,60,60
Flyme (Villa Air),VQI,VP,VILLA AIR,,,9,3
I-Fly,RSY,I4,RUSSIAN SKY,,2009,12,5
Kazan Air Enterprise,KKA,,,,1994,,6
Mann Yadanarpon Airlines,MYP,,MANN ROYAL,,2013,12,2
Norse Air,NRX,,NORSE AIR,,1992,,6
Privilege Style,PVG,P6,PRIVILEGE,,2003,,4
UTair-Ukraine,UTN,QU,UT-UKRAINE,,2008,12,3
Air Kyrgyzstan,LYN,QH,ALTYN AVIA,,2001,13,5
Azza Transport,AZZ,,AZZA TRANSPORT,,1993,,4
Ceiba Intercontinental Airlines,CEL,,CEIBA LINE,,2007,,10
Donghai Airlines,EPA,J5,DONGHAI AIR,,2002,,14
FlyMex,NTG,,,,,,
Ikar (airline),KAR,IK,KRASJET,,2013,,
Kazaviaspas,KZS,ZS,SPAKAZ,,2003,,5
Manunggal Air Service,MNS,,MANUNGGAL,,1997,8,3
Shar Ink,UGP,,,,1992,,6
Uzbekistan Airways,UZB,HY,UZBEK,Uzbekistan,1992,58,34
Aerolimousine,LIN,,AEROLIMOUSINE,,1998,,
Alexandair,AXN,,ALEXANDROS,,,,2
CemAir,KEM,,CEMAIR,,2005,,20
Flymojo,,,MOJO,,2015,,20
KD Air,KDC,XC,KAY DEE,Canada,1990,,
Pro-Air Services,,,,,,,
Sharp Airlines,,SH,SHARP,,1990,9,11
Sylt Air,AWU,7E,SYLT-AIR,Germany,1963,2,8
V Air,VAX,ZV,VANTAGE,,2014,4,2
Air Labrador,LAL,WJ,LAB AIR,Canada,1948,24,7
Alexandria Airlines,KHH,XH,,,,,2
Centavia,CNA,,N/A,,2005,,
Dornier Aviation Nigeria,DAV,,DANA AIR,,1979,,15
FlyMontserrat,MNT,5M,MONTSERRAT,,2009,3,
Illich-Avia,ILL,,ILLICHAVIA,,2002,7,4
MAP Jet,MPJ,AQ,MAPJET,,2002,,10
Proflight Commuter Services,PFZ,P0,PROFLIGHT-ZAMBIA,,,8,16
Shell Aircraft,SHE,,SHELL,,,,4
Syphax Airlines,SYA,FS,SYPHAXAIR,,2011,13,2
Aerolínea de Antioquia,ANQ,,ANTIOQUIA,,1987,21,13
Air Lazur,LZR,,LAZUR BEE-GEE,,,,4
Alidaunia,LID,D4,ALIDA,Italy,1976,3,6
BA CityFlyer,CFE,CJ,FLYER,United Kingdom,2007,26,17
DOT LT,DNU,R6,DANU,Lithuania,2003,3,9
Flynas,KNE,XY,NAS EXPRESS,,,23,26
Iloilo-Negros Air Express,,,INAEC,,,,
Keewatin Air,KEW,FK,BLIZZARD,,1998,,13
MAP Linhas Aéreas,PAM,,MAP AIR,,2011,10,5
Proflight Zambia,PFZ,P0,PROFLIGHT-ZAMBIA,,1991,11,17
Shenzhen Airlines,CSZ,ZH,SHENZHEN AIR,China,1992,74,164
Syrian Air,SYR,RB,SYRIANAIR,Syrian Arab Republic,1946,14,8
Aerolíneas Argentinas,ARG,AR,ARGENTINA,Argentina,,58,55
Air Leasing Cameroon,,,,,,,3
Douniah Airlines,,DH,,,,7,1
Ilyich-Avia,ILL,,ILYICHAVIA,,,7,4
Kelowna Flightcraft Air Charter,KFA,KW,FLIGHTCRAFT,Canada,,,23
North Canada Air,,,,,,,
Shenzhen Donghai Airlines,EPA,J5,DONGHAI AIR,China,2006,,7
Syrian Pearl Airlines,PSB,,,,2008,4,2
Air Leisure,ALD,AL,,,,8,4
Baboo (airline),BBO,F7,BABOO,Switzerland,2003,13,2
Dove Air Services,DOV,,DOVAIR,,2007,,5
ImagineAir,IMG,,IMAGINE,,2005,600,
Kemerovo Aviation Enterprise,,,,,,,
North Cariboo Air,NCB,,NORTH CARIBOO,,1957,,35
Shoal Air,,,,,2002,,18
TAAG Angola Airlines,DTA,DT,ANGOLA,Angola,,31,14
Aerolíneas Ejecutivas,LET,,,,1980,,
Maritime Air Charter,,,,,1996,,4
Pronto Airways,WEW,,PRONTO,,2006,8,3
Shock Trauma Air Rescue Society,,,,,,,
Van Air Europe,VAA,V9,EUROVAN,,2004,,5
Aerolineas Galapagos (Aerogal),GLG,2K,AEROGAL,Ecuador,,10,11
Alitalia,AZA,AZ,ALITALIA,Italy,1999,102,100
Badr Airlines,BDR,J4,BADR AIR,,,,11
Dragonair,HDA,KA,DRAGON,China,1985,44,41
FlyPelican,,,PELICAN,,2014,4,2
North Cyprus Airlines,,,,,2011,11,3
Propair,PRO,,PROPAIR,,1954,,12
Taban Air,TBM,HH,TABAN AIR,,2005,21,8
Alitalia CityLiner,CYL,AZ,CITYLINER,,,,20
Bahamasair,BHS,UP,BAHAMAS,Bahamas,1973,32,8
FlySafair,SFR,FA,SAFAIR,,2013,6,5
Kenmore Air,KEN,M5,KENMORE,United States,1946,,25
North Flying,NFA,M3,NORTH FLYING,,1963,,12
Shree Airlines,SHA,,SHREEAIR,,1999,10,6
Vancouver Island Air,,,,,1985,13,7
Aerolíneas Mas,MAS,N3,AERO MAS,Malaysia,2005,13,3
Air Libya,TLR,7Q,AIR LIBYA,Libyan Arab Jamahiriya,1996,,15
Druk Air,DRK,KB,ROYAL BHUTAN,Bhutan,1981,10,5
Fly-SAX,EXZ,B5,DUMA,,,14,6
Kenn Borek Air,KBA,4K,BOREK AIR,Canada,1970,,43
Maroomba Airlines,,KN,,,1985,,7
Shuttle America,TCF,S5,MERCURY,United States,1995,,113
TAC Colombia,TCC,TAC,TAC,,1995,20,7
Air Link,,ZL,,,1971,,8
Alitalia-Linee Aeree Italiane,AZA,AZ,ALITALIA,,1946,69,172
Central Charter de Colombia,,,,,1979,,
Dubai Royal Air Wing,DUB,,DUBAI,,,,12
Kenya Airways,KQA,KQ,KENYA,Kenya,,62,45
North Sea Airways,NRC,,NORTH SEA,,,,
Provincial Airlines,PVL,PB,PROVINCIAL,Canada,1972,22,33
TACA Airlines,TAI,TA,TACA,,,,40
Vanilla Air,VNL,JW,VANILLA,,2013,6,8
Air Lipsia,,W2,,,2010,,
Alkan Air,AKN,,ALKAN AIR,,1977,,14
Baires Fly,,,,,1996,,
Flyvista,AJD,GT,VISTA GEORGIA,,,4,3
